REG,REGNOME,HCAREA,HCAREANOME,TAB,TABNOME,LISTGROUP
1,"Oio",1,"Binar",1,"Berra",1
1,"Oio",1,"Binar",2,"Bidiur",1
1,"Oio",1,"Binar",3,"Binar",1
1,"Oio",1,"Binar",4,"Binomi",1
1,"Oio",1,"Binar",5,"Bissunaga",1
1,"Oio",1,"Binar",6,"Brum",1
1,"Oio",1,"Binar",7,"Cali",1
1,"Oio",1,"Binar",8,"Clack",1
1,"Oio",1,"Binar",9,"Cubui",1
1,"Oio",1,"Binar",10,"Cubum",1
1,"Oio",1,"Binar",11,"Cumbé",1
1,"Oio",1,"Binar",12,"Fabur",1
1,"Oio",1,"Binar",13,"Fontchó",1
1,"Oio",1,"Binar",14,"Gã Bas",1
1,"Oio",1,"Binar",15,"Gã Fula",1
1,"Oio",1,"Binar",16,"Mamgasinho",1
1,"Oio",1,"Binar",17,"Manchester",1
1,"Oio",1,"Binar",18,"Manga",1
1,"Oio",1,"Binar",19,"Manga Bisso",1
1,"Oio",1,"Binar",20,"Mpaba",1
1,"Oio",1,"Binar",21,"Mputchut",1
1,"Oio",1,"Binar",22,"Naga",1
1,"Oio",1,"Binar",23,"Ndambé",1
1,"Oio",1,"Binar",24,"Nfante",1
1,"Oio",1,"Binar",25,"Nguntché Besna",1
1,"Oio",1,"Binar",26,"Nguntché Samba",1
1,"Oio",1,"Binar",27,"Nhamat",1
1,"Oio",1,"Binar",28,"Nhengue",1
1,"Oio",1,"Binar",29,"Nogan",1
1,"Oio",1,"Binar",30,"Nsanta",1
1,"Oio",1,"Binar",31,"Nsumté",1
1,"Oio",1,"Binar",32,"Ntcherté",1
1,"Oio",1,"Binar",33,"Ntin",1
1,"Oio",1,"Binar",34,"Ntossolé",1
1,"Oio",1,"Binar",35,"Pamar",1
1,"Oio",1,"Binar",36,"Patche Pansau",1
1,"Oio",1,"Binar",37,"Patche Tam",1
1,"Oio",1,"Binar",38,"Patche Xala",1
1,"Oio",1,"Binar",39,"Ponta Nobu",1
1,"Oio",1,"Binar",40,"Ponta Nobu 2",1
1,"Oio",1,"Binar",41,"Queme",1
1,"Oio",1,"Binar",42,"Regue",1
1,"Oio",1,"Binar",43,"Rua Nobu",1
1,"Oio",1,"Binar",44,"Safar",1
1,"Oio",1,"Binar",45,"Tama",1
1,"Oio",1,"Binar",46,"Tchada",1
1,"Oio",1,"Binar",47,"Tchangué",1
1,"Oio",1,"Binar",48,"Tchill",1
