_element_key,_element_name,_element_type,_list_child_element_keys
BCG,BCG,string,[]
BCGDATA,BCGDATA,string,[]
BCGREACT,BCGREACT,string,[]
DATASAI,DATASAI,string,[]
DATASEG,DATASEG,string,[]
DOB,DOB,string,[]
DOBCON,DOBCON,string,[]
ESTADOCRI,ESTADOCRI,string,[]
GRAV,GRAV,integer,[]
HCAREA,HCAREA,integer,[]
HCAREANOME,HCAREANOME,string,[]
HOSP,HOSP,string,[]
HOSPDATA,HOSPDATA,string,[]
MOR,MOR,string,[]
MUAC,MUAC,integer,[]
NOME,NOME,string,[]
NOMECRI,NOMECRI,string,[]
NOMECRICON,NOMECRICON,string,[]
NUMEST,NUMEST,string,[]
NUMESTCRI,NUMESTCRI,string,[]
OUTRODATA,OUTRODATA,string,[]
OUTROVAC,OUTROVAC,array,"[""OUTROVAC_items""]"
OUTROVAC_items,items,string,[]
POBCON,POBCON,string,[]
POLIO,POLIO,string,[]
POLIO0,POLIO0,string,[]
POLIO0DATA,POLIO0DATA,string,[]
POLIODATA,POLIODATA,string,[]
REG,REG,integer,[]
REGDIA,REGDIA,string,[]
REGDIACRI,REGDIACRI,string,[]
REGNOME,REGNOME,string,[]
SEX,SEX,string,[]
SEXCON,SEXCON,string,[]
SUBAREA,SUBAREA,integer,[]
SUBAREANOME,SUBAREANOME,string,[]
TAB,TAB,integer,[]
TABNOME,TABNOME,string,[]
VACINAS,VACINAS,string,[]
VACINASIMG,VACINASIMG,mimeUri,"[""VACINASIMG_contentType"",""VACINASIMG_uriFragment""]"
VACINASIMG_contentType,contentType,mimeType,[]
VACINASIMG_uriFragment,uriFragment,rowpath,[]
VACINASOU,VACINASOU,string,[]
VACINFO,VACINFO,string,[]
VISNO,VISNO,string,[]
