_element_key,_element_name,_element_type,_list_child_element_keys
OOP_BIRTH,OOP_BIRTH,string,[]
OOP_B_DIAQ,OOP_B_DIAQ,integer,[]
OOP_B_DIAT,OOP_B_DIAT,string,[]
OOP_B_DIAT_OU,OOP_B_DIAT_OU,string,[]
OOP_B_DIAT_SEL,OOP_B_DIAT_SEL,array,"[""OOP_B_DIAT_SEL_items""]"
OOP_B_DIAT_SEL_items,items,string,[]
OOP_B_MATQ,OOP_B_MATQ,integer,[]
OOP_B_MATT,OOP_B_MATT,string,[]
OOP_B_MATT_OU,OOP_B_MATT_OU,string,[]
OOP_B_MATT_SEL,OOP_B_MATT_SEL,array,"[""OOP_B_MATT_SEL_items""]"
OOP_B_MATT_SEL_items,items,string,[]
OOP_B_MEDQ,OOP_B_MEDQ,integer,[]
OOP_B_MEDT,OOP_B_MEDT,string,[]
OOP_B_MEDT_OU,OOP_B_MEDT_OU,string,[]
OOP_B_MEDT_SEL,OOP_B_MEDT_SEL,array,"[""OOP_B_MEDT_SEL_items""]"
OOP_B_MEDT_SEL_items,items,string,[]
OOP_B_OBS,OOP_B_OBS,string,[]
OOP_B_OUTQ,OOP_B_OUTQ,integer,[]
OOP_B_OUTT,OOP_B_OUTT,string,[]
OOP_B_OUTT_OU,OOP_B_OUTT_OU,string,[]
OOP_B_OUTT_SEL,OOP_B_OUTT_SEL,array,"[""OOP_B_OUTT_SEL_items""]"
OOP_B_OUTT_SEL_items,items,string,[]
OOP_B_SERQ,OOP_B_SERQ,integer,[]
OOP_B_TRAM,OOP_B_TRAM,array,"[""OOP_B_TRAM_items""]"
OOP_B_TRAM_OU,OOP_B_TRAM_OU,string,[]
OOP_B_TRAM_items,items,string,[]
OOP_B_TRAQ,OOP_B_TRAQ,integer,[]
REGID,REGID,string,[]
VISITDATE,VISITDATE,string,[]
VISITID,VISITID,string,[]
