_element_key,_element_name,_element_type,_list_child_element_keys
ANC,ANC,string,[]
LOCPARCODE,LOCPARCODE,integer,[]
LOCPAR_FORA,LOCPAR_FORA,string,[]
OOP_ANC,OOP_ANC,string,[]
OOP_A_C_CPN,OOP_A_C_CPN,integer,[]
OOP_A_C_TT,OOP_A_C_TT,integer,[]
OOP_A_DIAQ,OOP_A_DIAQ,integer,[]
OOP_A_DIAT,OOP_A_DIAT,string,[]
OOP_A_MATQ,OOP_A_MATQ,integer,[]
OOP_A_MATT,OOP_A_MATT,string,[]
OOP_A_MEDQ,OOP_A_MEDQ,integer,[]
OOP_A_MEDT,OOP_A_MEDT,string,[]
OOP_A_OUTQ,OOP_A_OUTQ,integer,[]
OOP_A_OUTT,OOP_A_OUTT,string,[]
OOP_A_SERQ,OOP_A_SERQ,integer,[]
OOP_A_SERT,OOP_A_SERT,string,[]
OOP_A_TRAM,OOP_A_TRAM,string,[]
OOP_A_TRAQ,OOP_A_TRAQ,integer,[]
REGID,REGID,string,[]
VISITDATE,VISITDATE,string,[]
VISITID,VISITID,string,[]
