_element_key,_element_name,_element_type,_list_child_element_keys
CHWREG,CHWREG,string,[]
CICATRIZMAE,CICATRIZMAE,string,[]
CONSENT,CONSENT,string,[]
DATASEG,DATASEG,string,[]
ESCO,ESCO,string,[]
ESTADOGRAV,ESTADOGRAV,string,[]
ESTADOMUL,ESTADOMUL,string,[]
GEM,GEM,string,[]
GEMNUM,GEMNUM,integer,[]
GRAV,GRAV,integer,[]
HCAREA,HCAREA,integer,[]
HCAREANOME,HCAREANOME,string,[]
IDADE,IDADE,integer,[]
LOCPAR,LOCPAR,string,[]
MOR,MOR,string,[]
NOME,NOME,string,[]
NUMEST,NUMEST,string,[]
NVNMAB,NVNMAB,string,[]
PARHCHOSP,PARHCHOSP,string,[]
PARITY,PARITY,integer,[]
PARTAB,PARTAB,string,[]
REG,REG,integer,[]
REGDIA,REGDIA,string,[]
REGNOME,REGNOME,string,[]
SUBAREA,SUBAREA,integer,[]
SUBAREANOME,SUBAREANOME,string,[]
TAB,TAB,integer,[]
TABNOME,TABNOME,string,[]
VISNO,VISNO,integer,[]
